CDIAC Number,Issuer,Issuance Documents,Sold Status,Sale Date,ADTR Report,ADTR Filing Status,ADTR Reportable,ADTR Reportable Next Fiscal Year,ADTR Last Reported Year,Debt Policy,Issuer County,MKR Authority,Local Obligation,MKR CDIAC Number,Issuer Group,Issuer Type,Project Name,Principal Amount,New Money,Refunding Amount,Net Issue Discount/Premium,Debt Type,Purpose,Source of Repayment,TIC Interest Rate,NIC Interest Rate,Interest Type,Other Interest Type,Federally Taxable,First Optional Call Date,Final Maturity Date,CAB Flag,S and P Rating,Moody Rating,Fitch Rating,Other Rating,Guarantor Flag,Guarantor,Sale Type (Comp/Neg),Private Placement Flag,Underwriter,Lender,Purchaser,Placement Agent,Financial Advisor,Co-Financial Advisor,Bond Counsel Fee,Bond Counsel,Co-Bond Counsel,Disclosure Counsel,Borrower Counsel,Trustee,Issue Costs Pct of Principal Amt,Total Issuance Costs,UW Takedown,UW Mngmt Fee,UW Expenses,UW Total Discount/Spread,Placement Agent Fee,Financial Advisor Fee,Co-Bond Counsel Fee,Disclosure Counsel Fee,Borrower Counsel Fee,Trustee Fee,Credit Enhancement Fee,Rating Agency Fee,Other Issuance Expenses
1988-0511,Pleasanton Unified School District,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,08/02/1988 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Interim Financing,3000000,3000000,0,0,Tax and revenue anticipation note,"Cash Flow, Interim Financing",Tax increment,,6.18,NIC,,,,08/10/1989 12:00:00 AM,NO,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Neg,Unknown,Bank of California,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Jones Hall Hill & White,,,,,0.07,2100,0,0,0,2100,0,0,0,0,0,0,0,0,0
1992-0405,Alameda County,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/24/1992 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Counties,County Government,Capital Imps,62525000,62525000,0,0,Certificates of participation/leases,"Multiple Capital Improvements, Public Works",General fund of issuing jurisdiction,,,,,,,08/06/1993 12:00:00 AM,NO,S:A+,M:A,F:A+,NOT RATED,,,Neg,Unknown,First Boston Corporation,,,,Prager McCarthy & Sealy,,0,Brown & Wood,,,,,1,625250,0,0,0,625250,0,0,0,0,0,0,0,0,0
1992-0023,Alameda County Water District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,01/30/1992 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Counties,County Water District,Water System,24430000,24430000,0,0,Certificates of participation/leases,"Water Supply, Storage, Distribution",Public enterprise revenues,6.28,,TIC,,,,02/01/2008 12:00:00 AM,NO,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Unknown,Comp,Unknown,Stone & Youngberg,,,,Stone & Youngberg,,0,Orrick Herrington & Sutcliffe LLP,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-1446,Alameda County Industrial Development Authority,1995-1446.pdf (http://cdiacdocs.sto.ca.gov/1995-1446.pdf),SOLD,11/15/1995 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Special Districts,Industrial Development  Authority,Ream Enterprises LLC Series A,2600000,2600000,0,0,Conduit revenue bond,Industrial Development,Private obligor payments,,,VAR,,Subject to Alternative Minimum Tax,,11/01/2020 12:00:00 AM,NO,S:A/A-1+,NOT RATED,NOT RATED,NOT RATED,LOC,Wells Fargo Bank National Association,Neg,Unknown,Rauscher Pierce Refsness Inc,,,,Progressive Capital,,0,Webster & Anderson,,,,State Street Bank & Trust Company,4.27,110976,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-1220,Pleasanton Unified School District,2009-1220.pdf (http://cdiacdocs.sto.ca.gov/2009-1220.pdf),SOLD,12/09/2009 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,School Facilities,3315000,0,3315000,201859.15,General obligation bond,K-12 School Facility,Property tax revenues,1.827,,TIC,,,,08/01/2014 12:00:00 AM,NO,S:AAA/A+,NOT RATED,NOT RATED,NOT RATED,Ins,Assured Guaranty Municipal Corporation,Neg,Unknown,Piper Jaffray & Co,,,,,,40000,Stradling Yocca Carlson & Rauth,,,,U.S. Bank National Association,3.58,118606.02,0,0,0,35000,0,0,0,0,0,1900,15674.5,5500,20531.52
2009-1118,Dublin Unified School District,2009-1118.pdf (http://cdiacdocs.sto.ca.gov/2009-1118.pdf),SOLD,10/07/2009 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Series D & E,35999766,35999766,0,364969,General obligation bond,K-12 School Facility,Property tax revenues,6.466,,TIC,,,08/01/2019 12:00:00 AM,08/01/2044 12:00:00 AM,YES,S:AA-,M:A1,NOT RATED,NOT RATED,,,Comp,Unknown,Piper Jaffray & Co,,,,KNN Public Finance,,46940,Jones Hall A Professional Law Corp,,Jones Hall A Professional Law Corp,,U.S. Bank National Association,0.99,357939,0,0,0,179999,0,72140,0,20000,0,2510,0,31850,4500
2003-1997,Alameda County Industrial Development Authority,2003-1997.pdf (http://cdiacdocs.sto.ca.gov/2003-1997.pdf),SOLD,12/01/2003 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Special Districts,Industrial Development  Authority,PJs Lumber Inc,2500000,2500000,0,0,Conduit revenue bond,Industrial Development,Private obligor payments,,,VAR,,Subject to Alternative Minimum Tax,03/01/2004 12:00:00 AM,12/01/2033 12:00:00 AM,NO,S:A/A-1,NOT RATED,NOT RATED,NOT RATED,LOC,Comerica Bank,Neg,Unknown,E J De La Rosa & Company Inc,,,,Progressive Capital,,28500,Lofton & Jennings,,Lofton & Jennings,,Wells Fargo Bank National Association,3.42,85500,0,0,0,0,0,0,0,0,0,5000,0,0,52000
2013-1528,Oakland Unified School District,2013-1528.pdf (http://cdiacdocs.sto.ca.gov/2013-1528.pdf),SOLD,09/04/2013 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,School Facilities,120000000,120000000,0,3920195.9,General obligation bond,K-12 School Facility,Property tax revenues,5.617,6.244,,,,08/01/2018 12:00:00 AM,08/01/2038 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,NO,Siebert Brandford Shank & Co,,,,KNN Public Finance,,125000,Orrick Herrington & Sutcliffe LLP,,Orrick Herrington & Sutcliffe LLP,,U.S. Bank National Association,1.11,1336110.55,0,0,0,836110.55,0,95000,0,0,0,3500,0,0,276500
2002-1261,Oakland,2002-1261.pdf (http://cdiacdocs.sto.ca.gov/2002-1261.pdf),SOLD,10/23/2002 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,"Oakland Museum of CA, Zoo & Chabot Space & Science Ctr Measure G",38000000,38000000,0,287225,General obligation bond,"Parks, Open Space",Property tax revenues,4.975,,TIC,,,01/15/2012 12:00:00 AM,01/15/2032 12:00:00 AM,NO,S:AAA/A+,M:Aaa/A1,F:AAA/A+,NOT RATED,Ins,Financial Guaranty Insurance Company,Comp,Unknown,Stone & Youngberg,,,,The PFM Group/Public Financial Management Inc,,,Squire Sanders & Dempsey,,,,BNY Mellon Capital Markets LLC,0.54,204200,,,,8,,,,,,,,,
2007-1225,Dublin Unified School District,2007-1225.pdf (http://cdiacdocs.sto.ca.gov/2007-1225.pdf),SOLD,07/19/2007 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Series C,14998934,14998934,0,383424,General obligation bond,K-12 School Facility,Property tax revenues,,5.605,NIC,,,08/01/2017 12:00:00 AM,08/01/2032 12:00:00 AM,YES,S:AAA/A+,M:Aaa/A1,NOT RATED,NOT RATED,Ins,Municipal Bond Investors Assurance Corporation,Comp,Unknown,Citigroup Global Markets Inc,,,,KNN/Kelling Northcross & Nobriga Inc,,62574,Jones Hall A Professional Law Corp,,,,U.S. Bank National Association,4.74,711386,0,0,0,454112,0,0,0,0,0,0,194700,0,0
1993-0655,Fremont,1993-0655.pdf (http://cdiacdocs.sto.ca.gov/1993-0655.pdf),SOLD,06/22/1993 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Police Fac Series B,8560000,8560000,0,0,Certificates of participation/leases,Public Building,General fund of issuing jurisdiction,,6.085,NIC,,,,08/01/2025 12:00:00 AM,NO,S:A(p),M:A(c),NOT RATED,NOT RATED,,,Comp,Unknown,Bank of America NT & SA,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Jones Hall Hill & White,,,,Meridian Trust Company of California,1.6,137045.74,0,0,0,85600,0,0,0,0,0,0,0,0,0
2001-0552,Castro Valley Unified School District,2001-0552.pdf (http://cdiacdocs.sto.ca.gov/2001-0552.pdf),SOLD,07/25/2001 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,School Facilities,8100000,8100000,0,116507,General obligation bond,K-12 School Facility,Property tax revenues,,4.856,NIC,,,08/01/2008 12:00:00 AM,08/01/2026 12:00:00 AM,NO,S:AAA,NOT RATED,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Comp,Unknown,UBS PaineWebber Inc,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Orrick Herrington & Sutcliffe LLP,,,,US Bank Corporate Trust Services,2.64,213825,0,0,0,113825,0,0,0,0,0,0,0,0,100000
2011-1121,Berkeley Unified School District,2011-1121.pdf (http://cdiacdocs.sto.ca.gov/2011-1121.pdf),SOLD,09/29/2011 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,School Facilities,55625000,0,55625000,4158210.9,General obligation bond,K-12 School Facility,Property tax revenues,3.04,,TIC,,,08/01/2019 12:00:00 AM,08/01/2027 12:00:00 AM,NO,S:AA+/AA-,NOT RATED,NOT RATED,NOT RATED,Ins,Assured Guaranty Municipal Corporation,Comp,Unknown,,,,,KNN Public Finance,,75000,Quint & Thimmig LLP,,,,U.S. Bank National Association,1.01,560225.27,0,0,0,338827.98,0,80000,0,0,0,1380,29475.71,19470,16071.58
1999-0664,Pleasanton Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/03/1999 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Interim Financing,5000000,5000000,0,0,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,3.138,NIC,,,,06/30/2000 12:00:00 AM,NO,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,,,Comp,Unknown,Banc of America Securities,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Jones Hall A Professional Law Corp,,,,Alameda County,0.69,34362,0,0,0,17850,0,0,0,0,0,0,0,0,16512
2015-0120,Castro Valley Unified School District,2015-0120.pdf (http://cdiacdocs.sto.ca.gov/2015-0120.pdf),SOLD,02/05/2015 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,School Facilities,38140000,0,38140000,5340853.85,General obligation bond,K-12 School Facility,Property tax revenues,2.956,3.235,,,,02/01/2025 12:00:00 AM,08/01/2037 12:00:00 AM,NO,S:AA-,M:Aa2,NOT RATED,NOT RATED,,,Neg,NO,Morgan Stanley & Co LLC,,,,KNN Public Finance,,45000,Orrick Herrington & Sutcliffe LLP,,Orrick Herrington & Sutcliffe LLP,,U.S. Bank National Association,1,379538.78,18743.75,192.81,171763.45,190700.01,0,55000,0,20000,0,2100,0,50000,16738.77
2003-0776,Albany (CSCDA),2003-0776.pdf (http://cdiacdocs.sto.ca.gov/2003-0776.pdf),SOLD,06/13/2003 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,CSCDA 2003 TRAN Pool Series A-1,2000000,2000000,,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,0.878,NIC,,,,06/30/2004 12:00:00 AM,N/A,S:SP-1+,M:MIG1,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Neg,Unknown,Lehman Brothers,,,,RBC Dain Rauscher,,,Orrick Herrington & Sutcliffe LLP,,,,Wells Fargo Bank National Association,,,,,,,,,,,,,,,
2003-0479,Pleasanton Unified School District,2003-0479.pdf (http://cdiacdocs.sto.ca.gov/2003-0479.pdf),SOLD,04/30/2003 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Alisal ES,4370000,4370000,0,0,Certificates of participation/leases,K-12 School Facility,General fund of issuing jurisdiction,4.366,,TIC,,,05/01/2006 12:00:00 AM,05/01/2023 12:00:00 AM,NO,S:AAA/A+,NOT RATED,NOT RATED,NOT RATED,Ins,Ambac,Neg,Unknown,US Bancorp Piper Jaffray,,,,,,57000,Stradling Yocca Carlson & Rauth,,,,U.S. Bank National Association,4.63,202300,0,0,7700,54625,0,0,0,0,0,5250,65000,4000,16425
2003-0474,San Leandro,2003-0474.pdf (http://cdiacdocs.sto.ca.gov/2003-0474.pdf),SOLD,05/07/2003 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,City Hall,12550000,2903751,9646249,587327,Certificates of participation/leases,Public Building,General fund of issuing jurisdiction,,4.621,NIC,,,06/01/2013 12:00:00 AM,06/01/2028 12:00:00 AM,NO,S:AAA,NOT RATED,NOT RATED,NOT RATED,Ins,Ambac,Neg,Unknown,E Wagner & Associates Inc,,,,,,,Jones Hall A Professional Law Corp,,,,U.S. Bank National Association,1.98,248088,,,,125500,,,,,,,,,
2015-2572,Emery Unified School District,2015-2572.pdf (http://cdiacdocs.sto.ca.gov/2015-2572.pdf),SOLD,12/02/2015 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Series E,4500000,4500000,0,410101.75,General obligation bond,K-12 School Facility,Property tax revenues,3.751,4.006,,,,08/01/2025 12:00:00 AM,08/01/2042 12:00:00 AM,NO,NOT RATED,M:Aa3,NOT RATED,NOT RATED,,,Neg,NO,Stifel Nicolaus & Company Inc,,,,Caldwell Flores Winters Inc / CFW,,1834.24,Jones Hall A Professional Law Corp,,Jones Hall A Professional Law Corp,,U.S. Bank National Association,1.97,88621.26,0,0,0,22500,0,39741.85,0,0,0,1585,0,8559.78,14400.39
1994-1401,Fremont Unified School District,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,09/28/1994 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Series D,12000000,12000000,0,0,General obligation bond,K-12 School Facility,Property tax revenues,,6.136,NIC,,,,09/01/2019 12:00:00 AM,NO,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Capital Guaranty Insurance Company,Comp,Unknown,Merrill Lynch & Co,,,,Piper Jaffray Incorporated,,0,Brown & Wood,,,,,0.44,53300,0,0,0,0,0,0,0,0,0,0,0,0,0
1992-0512,Castro Valley Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/03/1992 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Interim Financing,2500000,2500000,0,0,Tax and revenue anticipation note,"Cash Flow, Interim Financing",Property tax revenues,,3.442,NIC,,,,06/30/1993 12:00:00 AM,NO,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Comp,Unknown,Prudential Securities,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Jones Hall Hill & White,,,,,0.1,2400,0,0,0,2400,0,0,0,0,0,0,0,0,0
2003-0481,Alameda County Board of Education,2003-0481.pdf (http://cdiacdocs.sto.ca.gov/2003-0481.pdf),SOLD,06/05/2003 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Counties,County Board of Education,,21500000,21500000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,0.912,NIC,,,,06/30/2004 12:00:00 AM,NO,S: SP-1+,NOT RATED,NOT RATED,NOT RATED,,,Comp,Unknown,First Albany Corporation,,,,KNN/Kelling Northcross & Nobriga Inc,,,Quint & Thimmig LLP,,,,Alameda County,,,,,,,,,,,,,,,
2001-1351,Emeryville Public Financing Authority,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/26/2001 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,YES,NO,,JPA & Marks-Roos,Joint Powers Agency,Hsg Series B,3420000,3420000,0,-29927,Revenue bond,Multifamily Housing,Local obligations,7.33,,TIC,,Federally Taxable,09/01/2011 12:00:00 AM,09/01/2031 12:00:00 AM,NO,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Municipal Bond Investors Assurance Corporation,Neg,Unknown,Stone & Youngberg,,,,,,21443,Quint & Thimmig LLP,,,,BNY Mellon Capital Markets LLC,3.37,115339,0,0,0,30746,0,0,0,0,0,2150,61000,0,0
2004-0479,Alameda Unified School District,2004-0479.pdf (http://cdiacdocs.sto.ca.gov/2004-0479.pdf),SOLD,06/04/2004 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,,4600000,4600000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,1.662,,TIC,,,,06/30/2005 12:00:00 AM,NO,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,,,Comp,Unknown,Banc of America Securities,,,,KNN/Kelling Northcross & Nobriga Inc,,5000,Quint & Thimmig LLP,,,,Alameda County,0.11,5000,,,,,,,,,,,,,
2015-2643,Emery Unified School District,2015-2643.pdf (http://cdiacdocs.sto.ca.gov/2015-2643.pdf),SOLD,12/02/2015 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,School Facilities,2860000,0,2860000,282998.75,General obligation bond,K-12 School Facility,Property tax revenues,1.512,1.626,,,,,08/01/2022 12:00:00 AM,NO,NOT RATED,M:Aa3,NOT RATED,NOT RATED,,,Neg,NO,Stifel Nicolaus & Company Inc,,,,Caldwell Flores Winters Inc / CFW,,31401.16,Jones Hall A Professional Law Corp,,Jones Hall A Professional Law Corp,,U.S. Bank National Association,3.01,86131.34,,,,14300,,25258.15,,,,2085,,5440.22,7646.81
1990-0628,Pleasanton Unified School District,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,07/19/1990 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Interim Financing,2860000,2860000,0,0,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,6.061,NIC,,,,07/30/1991 12:00:00 AM,NO,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Neg,Unknown,Shearson Lehman Hutton Inc,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Jones Hall Hill & White,,,,,0.12,3300,0,0,0,0,0,0,0,0,0,0,0,0,3300
1988-0620,Pleasanton Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/19/1988 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Series A,5000000,5000000,0,0,General obligation bond,K-12 School Facility,Tax increment,,7.751,NIC,,,,,NO,S:A+,M:A,NOT RATED,NOT RATED,,,Comp,Unknown,Dean Witter Reynolds Inc,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Brown & Wood,,,,,0.2,9850,0,0,0,0,0,0,0,0,0,0,0,0,9850
1996-1125,Fremont Unified School District,1996-1125.pdf (http://cdiacdocs.sto.ca.gov/1996-1125.pdf),SOLD,06/25/1996 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,School Facilities,12920000,12920000,0,0,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,4.003,NIC,,,,07/01/1997 12:00:00 AM,NO,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,A G Edwards & Sons Inc,,,,,,0,Brown & Wood,,,,First Trust of California NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-1290,Oakland Unified School District,2015-1290.pdf (http://cdiacdocs.sto.ca.gov/2015-1290.pdf),SOLD,08/05/2015 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,School Facilities,168705000,0,168705000,22885777.45,General obligation bond,K-12 School Facility,Property tax revenues,3.19,3.46,,,,08/01/2025 12:00:00 AM,08/01/2030 12:00:00 AM,NO,S:AA,M:A2,NOT RATED,NOT RATED,Ins,Assured Guaranty Municipal Corporation,Neg,NO,Siebert Brandford Shank & Co,,,,KNN Public Finance,,57814.62,Orrick Herrington & Sutcliffe LLP,,Orrick Herrington & Sutcliffe LLP,,U.S. Bank National Association,1.66,2807654.63,1005693.75,84352.5,53312.36,1143358.61,0,79827.72,0,30479.68,0,2344.93,1335745.4,120000,38083.67
2006-0158,Castro Valley Unified School District,2006-0158.pdf (http://cdiacdocs.sto.ca.gov/2006-0158.pdf),SOLD,04/05/2006 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,School Facilities,24000000,24000000,0,441075,General obligation bond,K-12 School Facility,Property tax revenues,,4.474,NIC,,,08/01/2014 12:00:00 AM,08/01/2035 12:00:00 AM,NO,S:AAA/A+,M:Aaa/A1,NOT RATED,NOT RATED,Ins,Financial Guaranty Insurance Company,Comp,Unknown,Citigroup Global Markets Inc,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Orrick Herrington & Sutcliffe LLP,,,,U.S. Bank National Association,1.84,441075,0,0,0,227775,0,0,0,0,0,0,63300,0,150000
2003-0758,Fremont,2003-0758.pdf (http://cdiacdocs.sto.ca.gov/2003-0758.pdf),SOLD,07/08/2003 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Library/Animal Shelter/Senior Ctr,21930000,678672,21251328,,Certificates of participation/leases,"Multiple Capital Improvements, Public Works",General fund of issuing jurisdiction,,,VAR,,,,08/01/2025 12:00:00 AM,NO,S:AAA/A-1+,NOT RATED,NOT RATED,NOT RATED,Ins,Ambac,Neg,Unknown,Lehman Brothers,,,,KNN/Kelling Northcross & Nobriga Inc,,74663,Quint & Thimmig LLP,,,,BNY Mellon Capital Markets LLC,2.72,597096,,,6314,27413,,70000,,21000,,2850,356433,16000,56150
1989-0969,Castro Valley Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,10/05/1989 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Stanton Elementary,2520000,2520000,0,0,Certificates of participation/leases,K-12 School Facility,General fund of issuing jurisdiction,,7.072,NIC,,,,,NO,S:A-,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Shearson Lehman Hutton Inc,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Jones Hall Hill & White,,,,,0.6,15165,0,0,0,0,0,0,0,0,0,0,0,0,15165
